nim,judul,pengarang,penerbit,klasifikasi,call_number,bahasa,tahun,halaman,url,,,,,,,,
"C2155201055Judul :Prototype Robot Pemadam Kebakaran Otomatis Dengan Sensor Api Berbasis IoTPengarang :Ezra Kurniawan,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.27Call Number : TA TI 25.27 EZR pBahasa :IndonesiaTahun :2025Halaman :45Ketersediaan :TTI2500027Tersedia di STMIK Palangkaraya",Prototype Robot Pemadam Kebakaran Otomatis Dengan Sensor Api Berbasis IoT,Ezra Kurniawan,STMIK Palangkaraya,TA TI 25.27,TA TI 25.27 EZR p,Indonesia,2025,45,https://perpus.stmikplk.ac.id/perpus/main/item/17849,,,,,,,,
"C2155201097Judul :Prototype Sistem Penghitung Otomatis Jumlah Jemaat Berbasis IoT Pada Gereja GKE Ewanggelion + PDFPengarang :Imanuel Natalis Timisela,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.26Call Number : TA TI 25.26 IMA pBahasa :IndonesiaTahun :2025Halaman :55Halaman :55Ketersediaan :TTI2500026Tersedia di STMIK Palangkaraya",Prototype Sistem Penghitung Otomatis Jumlah Jemaat Berbasis IoT Pada Gereja GKE Ewanggelion + PDF,Imanuel Natalis Timisela,STMIK Palangkaraya,TA TI 25.26,TA TI 25.26 IMA p,Indonesia,2025,55,https://perpus.stmikplk.ac.id/perpus/main/item/17848,,,,,,,,
"C2155201006Judul :Prototype Sistem Monitoring Kelembaban Tanah Pada Tanaman Kemunting Berbasia IoT + PDFPengarang :Rezkya Juliantho,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.25Call Number : TA TI 25.25 REZ pBahasa :IndonesiaTahun :2025Halaman :100Halaman :100Ketersediaan :TTI2500025Tersedia di STMIK Palangkaraya",Prototype Sistem Monitoring Kelembaban Tanah Pada Tanaman Kemunting Berbasia IoT + PDF,Rezkya Juliantho,STMIK Palangkaraya,TA TI 25.25,TA TI 25.25 REZ p,Indonesia,2025,100,https://perpus.stmikplk.ac.id/perpus/main/item/17846,,,,,,,,
"C2155201003Judul :Prototype Sistem Penyiraman Tanaman Apel Berbasis Internet Of Things (IOT) + PDFPengarang :Yoga Anditia,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.24Call Number : TA TI 25.24 YOG pBahasa :IndonesiaTahun :2025Halaman :74Halaman :74Ketersediaan :TTI2500024Tersedia di STMIK Palangkaraya",Prototype Sistem Penyiraman Tanaman Apel Berbasis Internet Of Things (IOT) + PDF,Yoga Anditia,STMIK Palangkaraya,TA TI 25.24,TA TI 25.24 YOG p,Indonesia,2025,74,https://perpus.stmikplk.ac.id/perpus/main/item/17836,,,,,,,,
"C2155201053Judul :Implementasi Media Pembelajaran Interaktif Muatan Lokal Menggunakan Augmented Reality Di SMPN 2 Palangka Raya+ PDFPengarang :Elfira Sintani,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.23Call Number : TA TI 25.23 ELF iBahasa :IndonesiaTahun :2025Halaman :86Halaman :86Ketersediaan :TTI2500023Tersedia di STMIK Palangkaraya",Implementasi Media Pembelajaran Interaktif Muatan Lokal Menggunakan Augmented Reality Di SMPN 2 Palangka Raya+ PDF,Elfira Sintani,STMIK Palangkaraya,TA TI 25.23,TA TI 25.23 ELF i,Indonesia,2025,86,https://perpus.stmikplk.ac.id/perpus/main/item/17835,,,,,,,,
"C2155201017Judul :Prototype Sistem Kendali Daya Router Wireless Pada Kost “Isal Tuwan” Berbasis Internet Of Things.Pengarang :Ary Wirawan,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.22Call Number : TA TI 25.22 ARY pBahasa :IndonesiaTahun :2025Halaman :74Ketersediaan :TTI2500022Tersedia di STMIK Palangkaraya",Prototype Sistem Kendali Daya Router Wireless Pada Kost “Isal Tuwan” Berbasis Internet Of Things.,Ary Wirawan,STMIK Palangkaraya,TA TI 25.22,TA TI 25.22 ARY p,Indonesia,2025,74,https://perpus.stmikplk.ac.id/perpus/main/item/17833,,,,,,,,
"C2155201035Judul :Analisis Bukti Digital Forensic Cheat Game Monster Hunter World Dengan Metode Live Forensics + PDFPengarang :Yoantri Et Devitsu,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.21Call Number : TA TI 25.21 YOA aBahasa :IndonesiaTahun :2025Halaman :123Halaman :123Ketersediaan :TTI2500021Tersedia di STMIK Palangkaraya",Analisis Bukti Digital Forensic Cheat Game Monster Hunter World Dengan Metode Live Forensics + PDF,Yoantri Et Devitsu,STMIK Palangkaraya,TA TI 25.21,TA TI 25.21 YOA a,Indonesia,2025,123,https://perpus.stmikplk.ac.id/perpus/main/item/17825,,,,,,,,
"C2155201021Judul :Game Edukasi “Ayo Lindungi Data Digital” Berbasis Android + PDFPengarang :Yosua Caesar Raymon,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.20Call Number : TA TI 25.20 YOS gBahasa :IndonesiaTahun :2025Halaman :115Halaman :115Ketersediaan :TTI2500020Tersedia di STMIK Palangkaraya",Game Edukasi “Ayo Lindungi Data Digital” Berbasis Android + PDF,Yosua Caesar Raymon,STMIK Palangkaraya,TA TI 25.20,TA TI 25.20 YOS g,Indonesia,2025,115,https://perpus.stmikplk.ac.id/perpus/main/item/17816,,,,,,,,
"C2155201105Judul :Implementasi Teknologi IOT Pada Budidaya Ikan Lele Bioflok Untuk Monitoring Kualitas Air + PDF.Pengarang :Ahmad Husaini,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.19Call Number : TA TI 25.19 AHM iBahasa :IndonesiaTahun :2025Halaman :80Halaman :80Ketersediaan :TTI2500019Tersedia di STMIK Palangkaraya",Implementasi Teknologi IOT Pada Budidaya Ikan Lele Bioflok Untuk Monitoring Kualitas Air + PDF.,Ahmad Husaini,STMIK Palangkaraya,TA TI 25.19,TA TI 25.19 AHM i,Indonesia,2025,80,https://perpus.stmikplk.ac.id/perpus/main/item/17813,,,,,,,,
"C2155201078Judul :Penerapan Metode Fuzzy Mamdani Untuk Diagnosa Penyakit Pata Tanaman Peria + PDFPengarang :Maria Grasia Tully H.,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.18Call Number : TA TI 25.18 MAR pBahasa :IndonesiaTahun :2025Halaman :53Halaman :53Ketersediaan :TTI2500018Tersedia di STMIK Palangkaraya",Penerapan Metode Fuzzy Mamdani Untuk Diagnosa Penyakit Pata Tanaman Peria + PDF,Maria Grasia Tully H.,STMIK Palangkaraya,TA TI 25.18,TA TI 25.18 MAR p,Indonesia,2025,53,https://perpus.stmikplk.ac.id/perpus/main/item/17810,,,,,,,,
"C2155201011Judul :Implementasi Sistem Informasi Geografis Berbasis Web Untuk Pemetaan Jasa Tukang Di Kota Palangka Raya + PDF.Pengarang :Akhmad Golam,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.17Call Number : TA TI 25.17 AKH iBahasa :IndonesiaTahun :2025Halaman :50Halaman :50Ketersediaan :TTI2500017Tersedia di STMIK Palangkaraya",Implementasi Sistem Informasi Geografis Berbasis Web Untuk Pemetaan Jasa Tukang Di Kota Palangka Raya + PDF.,Akhmad Golam,STMIK Palangkaraya,TA TI 25.17,TA TI 25.17 AKH i,Indonesia,2025,50,https://perpus.stmikplk.ac.id/perpus/main/item/17807,,,,,,,,
"C2155201086Judul :Analisis Jaringan Hotspot Dengan Parameter Quality Of Service (QOS) Pada Kantor Wilayah Kementerian Agama Provinsi Kalimantan Tengah.Pengarang :Taufikur Rahman,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.16Call Number : TA TI 25.16 TAU aBahasa :IndonesiaTahun :2025Halaman :44Halaman :44Ketersediaan :TTI2500016Tersedia di STMIK Palangkaraya",Analisis Jaringan Hotspot Dengan Parameter Quality Of Service (QOS) Pada Kantor Wilayah Kementerian Agama Provinsi Kalimantan Tengah.,Taufikur Rahman,STMIK Palangkaraya,TA TI 25.16,TA TI 25.16 TAU a,Indonesia,2025,44,https://perpus.stmikplk.ac.id/perpus/main/item/17785,,,,,,,,
"C2155201077Judul :Sistem Pakar Diagnosa Penyakit Hewan Sugar Glider Berbasis WebPengarang :Tommy Ekadino David,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.15Call Number : TA TI 25.15 TOM sBahasa :IndonesiaTahun :2025Halaman :98Ketersediaan :TTI2500015Tersedia di STMIK Palangkaraya",Sistem Pakar Diagnosa Penyakit Hewan Sugar Glider Berbasis Web,Tommy Ekadino David,STMIK Palangkaraya,TA TI 25.15,TA TI 25.15 TOM s,Indonesia,2025,98,https://perpus.stmikplk.ac.id/perpus/main/item/17782,,,,,,,,
"C2155201041Judul :Sistem Pendukung Keputusan Pemilihan Tempat Kos Di Kawasan STMIK Palangkaraya Berbasis Web Menggunakan Metode Simple Additive Weighting + PDFPengarang :Mega Noorbaiti,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.14Call Number : TA TI 25.14 MEG sBahasa :IndonesiaTahun :2025Halaman :78Halaman :78Ketersediaan :TTI2500014Tersedia di STMIK Palangkaraya",Sistem Pendukung Keputusan Pemilihan Tempat Kos Di Kawasan STMIK Palangkaraya Berbasis Web Menggunakan Metode Simple Additive Weighting + PDF,Mega Noorbaiti,STMIK Palangkaraya,TA TI 25.14,TA TI 25.14 MEG s,Indonesia,2025,78,https://perpus.stmikplk.ac.id/perpus/main/item/17780,,,,,,,,
"C2155201072Judul :Penerapan Metode Certainty Factor Pada Sistem Pakar Diagnosa Penyakit Pada Tanaman Paken Berbasis Web + PDFPengarang :Yofita Okta Tiara,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.13Call Number : TA TI 25.13 YOF pBahasa :IndonesiaTahun :2025Halaman :70Halaman :70Ketersediaan :TTI2500013Tersedia di STMIK Palangkaraya",Penerapan Metode Certainty Factor Pada Sistem Pakar Diagnosa Penyakit Pada Tanaman Paken Berbasis Web + PDF,Yofita Okta Tiara,STMIK Palangkaraya,TA TI 25.13,TA TI 25.13 YOF p,Indonesia,2025,70,https://perpus.stmikplk.ac.id/perpus/main/item/17778,,,,,,,,
"C2055201085Judul :Rancang Bangun Sistem Informasi Geografis Pemetaan Lokasi Objek Wisata Di Kabupaten Gunung Mas Menggunakan Quantum GISPengarang :Wiliam Godlin Lalang,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.12Call Number : TA TI 25.12 WIL rBahasa :IndonesiaTahun :2025Halaman :48Ketersediaan :TTI2500012Tersedia di STMIK Palangkaraya",Rancang Bangun Sistem Informasi Geografis Pemetaan Lokasi Objek Wisata Di Kabupaten Gunung Mas Menggunakan Quantum GIS,Wiliam Godlin Lalang,STMIK Palangkaraya,TA TI 25.12,TA TI 25.12 WIL r,Indonesia,2025,48,https://perpus.stmikplk.ac.id/perpus/main/item/17719,,,,,,,,
"C1955201066Judul :Penerapan Metode Topsis Dalam Melakukan Pemilihan Bibit Tomat Pada Lahan GambutPengarang :Daffa Alvindo Redina,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.11Call Number : TA TI 25.11 DAF pBahasa :IndonesiaTahun :2025Halaman :73Ketersediaan :TTI2500011Tersedia di STMIK Palangkaraya",Penerapan Metode Topsis Dalam Melakukan Pemilihan Bibit Tomat Pada Lahan Gambut,Daffa Alvindo Redina,STMIK Palangkaraya,TA TI 25.11,TA TI 25.11 DAF p,Indonesia,2025,73,https://perpus.stmikplk.ac.id/perpus/main/item/17695,,,,,,,,
"C1955201058Judul :Prototype Sistem Pakan Ikan Nila Otomatis Menggunakan Sensor RTC DS3231 Dan Mikrokontroller Nodemcu Berbasis Internet Of Things Di Keramba Jaring Apung + PDF.Pengarang :Jaja Andri Saputra,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 24.65Call Number : TA TI 24.65 JAJ pBahasa :IndonesiaTahun :2024Halaman :51Halaman :51Ketersediaan :TTI2400065Tersedia di STMIK Palangkaraya",Prototype Sistem Pakan Ikan Nila Otomatis Menggunakan Sensor RTC DS3231 Dan Mikrokontroller Nodemcu Berbasis Internet Of Things Di Keramba Jaring Apung + PDF.,Jaja Andri Saputra,STMIK Palangkaraya,TA TI 24.65,TA TI 24.65 JAJ p,Indonesia,2024,51,https://perpus.stmikplk.ac.id/perpus/main/item/17694,,,,,,,,
"C2155201087Judul :Implementasi Aplikasi Perpustakaan Menggunakan Cloud Computing Dengan Model Infrastructure As A Service Pada SDN 1 Ampah.Pengarang :Arvhiyona Rosari,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.09Call Number : TA TI 25.09 ARV iBahasa :IndonesiaTahun :2025Halaman :75Ketersediaan :TTI250009Tersedia di STMIK Palangkaraya",Implementasi Aplikasi Perpustakaan Menggunakan Cloud Computing Dengan Model Infrastructure As A Service Pada SDN 1 Ampah.,Arvhiyona Rosari,STMIK Palangkaraya,TA TI 25.09,TA TI 25.09 ARV i,Indonesia,2025,75,https://perpus.stmikplk.ac.id/perpus/main/item/17657,,,,,,,,
"C2055201110Judul :Pengembangan Game Edukasi Pengenalan Rambu Lalu Lintas Berbasis Android+ PDFPengarang :Jhon Parnando,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.08Call Number : TA TI 25.08 JHO pBahasa :IndonesiaTahun :2025Halaman :69Halaman :69Ketersediaan :TTI250008Tersedia di STMIK Palangkaraya",Pengembangan Game Edukasi Pengenalan Rambu Lalu Lintas Berbasis Android+ PDF,Jhon Parnando,STMIK Palangkaraya,TA TI 25.08,TA TI 25.08 JHO p,Indonesia,2025,69,https://perpus.stmikplk.ac.id/perpus/main/item/17655,,,,,,,,
"C2055201042Judul :Sistem Pakar Konseling Psikologis Pada Siswa MTs Hidayatul Muhajirin Palangka Raya Menggunakan Metode Cetainty Factor Berbasis WebPengarang :Anjela Rastiana,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.07Call Number : TA TI 25.07 ANJ sBahasa :IndonesiaTahun :2025Halaman :71Ketersediaan :TTI250007Tersedia di STMIK Palangkaraya",Sistem Pakar Konseling Psikologis Pada Siswa MTs Hidayatul Muhajirin Palangka Raya Menggunakan Metode Cetainty Factor Berbasis Web,Anjela Rastiana,STMIK Palangkaraya,TA TI 25.07,TA TI 25.07 ANJ s,Indonesia,2025,71,https://perpus.stmikplk.ac.id/perpus/main/item/17654,,,,,,,,
"C1855201005Judul :Penerapan Lora Stable Diffusion Untuk Klasifikasi Baju Adat Daerah Kalimantan TengahPengarang :Dandi Rendika,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 24.62Call Number : TA TI 24.62 DAN pBahasa :IndonesiaTahun :2024Halaman :41Ketersediaan :TTI2400062Tersedia di STMIK Palangkaraya",Penerapan Lora Stable Diffusion Untuk Klasifikasi Baju Adat Daerah Kalimantan Tengah,Dandi Rendika,STMIK Palangkaraya,TA TI 24.62,TA TI 24.62 DAN p,Indonesia,2024,41,https://perpus.stmikplk.ac.id/perpus/main/item/17645,,,,,,,,
"C2055201002Judul :Sistem Pengambilan Keputusan Penentuan Distribusi Bahan Pangan Pada Daerah Rawan Pangan Menggunakan Metode Simple Additive Weighting (SAW) Di Kalimantan Tengah + PDFPengarang :Diva Agustara,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.05Call Number : TA TI 25.05 DIV sBahasa :IndonesiaTahun :2025Halaman :77Halaman :77Ketersediaan :TTI250005Tersedia di STMIK Palangkaraya",Sistem Pengambilan Keputusan Penentuan Distribusi Bahan Pangan Pada Daerah Rawan Pangan Menggunakan Metode Simple Additive Weighting (SAW) Di Kalimantan Tengah + PDF,Diva Agustara,STMIK Palangkaraya,TA TI 25.05,TA TI 25.05 DIV s,Indonesia,2025,77,https://perpus.stmikplk.ac.id/perpus/main/item/17644,,,,,,,,
"C2155201002Judul :Aplikasi Untuk Mengetahui Tingkat Keparahan Asam Urat Menggunakan Metode Fuzzy Tsukamoto + PDFPengarang :Krisnandae,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.02Call Number : TA TI 25.02 KRI aBahasa :IndonesiaTahun :2025Halaman :48Halaman :48Ketersediaan :TTI250002Tersedia di STMIK Palangkaraya",Aplikasi Untuk Mengetahui Tingkat Keparahan Asam Urat Menggunakan Metode Fuzzy Tsukamoto + PDF,Krisnandae,STMIK Palangkaraya,TA TI 25.02,TA TI 25.02 KRI a,Indonesia,2025,48,https://perpus.stmikplk.ac.id/perpus/main/item/17640,,,,,,,,
"C2155201094Judul :Analisis Trafik Jaringan Menggunakan Wireshark Untuk Deteksi Serangan Deauthentication Pada Perangkat Kamera WI-FIPengarang :Anisa Febriyana Putri,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.01Call Number : TA TI 25.01 ANI aBahasa :IndonesiaTahun :2025Halaman :54Ketersediaan :TTI250001Tersedia di STMIK Palangkaraya",Analisis Trafik Jaringan Menggunakan Wireshark Untuk Deteksi Serangan Deauthentication Pada Perangkat Kamera WI-FI,Anisa Febriyana Putri,STMIK Palangkaraya,TA TI 25.01,TA TI 25.01 ANI a,Indonesia,2025,54,https://perpus.stmikplk.ac.id/perpus/main/item/17639,,,,,,,,
"C2155201075Judul :Aplikasi Penjadwalan Laboratorium STMIK Palangkaraya Menggunakan Metode Algoritma Genetika + PDFPengarang :Muhammad Tahmidillah,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 24.61Call Number : TA TI 24.61 MUH aBahasa :IndonesiaTahun :2024Halaman :114Halaman :114Ketersediaan :TTI2400061Tersedia di STMIK Palangkaraya",Aplikasi Penjadwalan Laboratorium STMIK Palangkaraya Menggunakan Metode Algoritma Genetika + PDF,Muhammad Tahmidillah,STMIK Palangkaraya,TA TI 24.61,TA TI 24.61 MUH a,Indonesia,2024,114,https://perpus.stmikplk.ac.id/perpus/main/item/17627,,,,,,,,
